Date,BTC,NYSE,Int_Rate,Gold,Nasdaq
2019-09-07,0.2545366206517912,0.6631562150949419,-0.753337192187827,0.45314801678780076,0.437611878619563
2019-09-08,0.2526661273155859,0.6631562150949419,-0.753337192187827,0.45314801678780076,0.437611878619563
2019-09-09,0.2500491147647496,0.6675187241104197,-0.6436368483332737,0.43540471329030844,0.43545552860349784
2019-09-10,0.2446576405069873,0.6728227346417743,-0.5217475773837698,0.4327064794170605,0.43356475569686376
2019-09-11,0.24619376168530355,0.6869363767352799,-0.4745154848908367,0.4375306495300953,0.4413635208581718
2019-09-12,0.2518992688089825,0.6923041203127493,-0.38614576345244667,0.427146381252219,0.4445498185428494
2019-09-13,0.2506786710612252,0.6936269285144407,-0.215500784123141,0.4141455307779684,0.44193848476627345
2019-09-14,0.25061717235720965,0.6936269285144407,-0.215500784123141,0.4141455307779684,0.44193848476627345
2019-09-15,0.25036271488291595,0.6936269285144407,-0.215500784123141,0.4141455307779684,0.44193848476627345
2019-09-16,0.2486167816522155,0.6910165288016594,-0.3099649691090066,0.42330336404990493,0.43759797239791526
2019-09-17,0.2477422884058072,0.6947551097813947,-0.35414982982820203,0.44300897336883877,0.44149306811109207
2019-09-18,0.246683082673477,0.6928242679112813,-0.3937638428867905,0.4283728816710784,0.4414684447742849
2019-09-19,0.24836126633641092,0.6915382347215575,-0.4120472335292161,0.4427636830970048,0.4428849429632267
2019-09-20,0.24627425335769304,0.6887537772458912,-0.4409959353797235,0.45592803316376157,0.43450797264555546
2019-09-21,0.24228787293511606,0.6887537772458912,-0.4409959353797235,0.45592803316376157,0.43450797264555546
2019-09-22,0.24353544548138037,0.6887537772458912,-0.4409959353797235,0.45592803316376157,0.43450797264555546
2019-09-23,0.23513878118354126,0.6874022969522902,-0.5126058820625566,0.47293540860944744,0.4339790664116476
2019-09-24,0.207842589972303,0.672551441359502,-0.6238298418039792,0.4811120235577436,0.42235478889424166
2019-09-25,0.20455418856345808,0.6797878520823362,-0.4760391007777057,0.4554374607967087,0.43236558109997886
